nickname,age,gender,is_active_group,usefulness (session 1),acceptability (session 1),usefulness (mental health) (session 1),acceptability (mental health) (session 1),persona (round 1) (session 1),integrity (round 1) (session 1),rating (round 1) (session 1),confidence (round 1) (session 1),persona (round 2) (session 1),integrity (round 2) (session 1),rating (round 2) (session 1),confidence (round 2) (session 1),persona (round 3) (session 1),integrity (round 3) (session 1),rating (round 3) (session 1),confidence (round 3) (session 1),usefulness (session 2),acceptability (session 2),usefulness (mental health) (session 2),acceptability (mental health) (session 2),persona (round 1) (session 2),integrity (round 1) (session 2),rating (round 1) (session 2),confidence (round 1) (session 2),persona (round 2) (session 2),integrity (round 2) (session 2),rating (round 2) (session 2),confidence (round 2) (session 2),persona (round 3) (session 2),integrity (round 3) (session 2),rating (round 3) (session 2),confidence (round 3) (session 2)
Catarina,22,Frau,true,4,2,2,1,Martina,true,3,75.0,Mathias,false,2,90.0,Amina,false,1,100.0,4,2,2,2,Amina,false,2,90.0,Aylin,true,4,70.0,Lena,false,1,90.0
VJ,21,Mann,true,5,5,5,5,Amina,false,1,95.0,Aylin,true,5,100.0,Lena,false,4,90.0,5,4,4,2,Martina,true,4,100.0,Mathias,false,1,100.0,Lena,false,4,100.0
Sina,23,Frau,false,4,3,4,3,Lena,false,3,90.0,Martina,true,4,100.0,Mathias,false,3,100.0,4,3,3,1,Mathias,false,4,100.0,Aylin,true,3,90.0,Amina,false,2,100.0
Maria,57,Frau,true,3,3,3,3,Mathias,false,3,80.0,Amina,true,4,80.0,Martina,false,2,80.0,3,3,3,3,Amina,false,3,90.0,Lena,true,4,90.0,Aylin,false,3,80.0
Dirty Harry,62,Mann,false,3,3,3,3,Aylin,false,4,70.0,Mathias,true,1,90.0,Amina,false,1,100.0,3,3,1,1,Amina,false,1,100.0,Martina,false,1,100.0,Lena,true,1,100.0
woop woop,21,Frau,true,4,3,1,1,Lena,false,4,10.0,Amina,false,3,20.0,Mathias,true,3,10.0,4,2,1,1,Mathias,false,2,10.0,Aylin,false,2,10.0,Martina,true,2,10.0
Maxi,21,Mann,false,4,3,2,2,Martina,false,4,80.0,Amina,true,4,80.0,Aylin,false,4,80.0,4,3,3,2,Aylin,true,4,80.0,Lena,false,4,80.0,Mathias,false,2,90.0
Min,22,Frau,true,2,2,3,2,Lena,false,3,65.0,Mathias,false,2,80.0,Amina,true,4,70.0,3,2,2,2,Lena,true,3,100.0,Aylin,false,4,90.0,Martina,false,4,95.0
Vespafahrer,22,Mann,false,4,3,3,3,Amina,false,4,70.0,Aylin,true,4,75.0,Mathias,false,3,80.0,4,4,3,4,Martina,false,4,100.0,Amina,true,3,100.0,Lena,false,3,100.0
Jessi,22,Frau,true,5,4,4,4,Mathias,true,5,90.0,Martina,false,4,70.0,Amina,false,2,90.0,5,4,5,2,Amina,true,5,90.0,Lena,false,4,70.0,Aylin,false,4,60.0
