nickname,DISCLAIMER,bias_mean_s1,bias_mean_s2,DISCLAIMER_LABEL
Catarina,1,0.1125,0.1125,Active
VJ,1,0.3375,0.375,Active
Sina,0,0.475,0.5,Control
Maria,1,0.30000000000000004,0.42500000000000004,Active
Dirty Harry,0,0.26249999999999996,0.0,Control
woop woop,1,0.08750000000000001,0.025,Active
Maxi,0,0.6000000000000001,0.41250000000000003,Control
Min,1,0.2625,0.69375,Active
Vespafahrer,0,0.46249999999999997,0.625,Control
Jessi,1,0.37499999999999994,0.48749999999999993,Active
Amalia ,1,0.61875,,Active
Soxi,1,0.425,0.875,Active
Steffi,0,0.26249999999999996,0.325,Control
Bless,1,0.7875000000000001,0.6375000000000001,Active
Sylvie,0,0.9,0.4,Control
Piet,1,1.0,0.625,Active
Preta,1,0.45,0.59375,Active
Xandi,0,0.75,0.375,Control
Steidl Bua,1,0.5375000000000001,0.675,Active
GEILSTER MENSCH AUF DER WELT,0,0.46249999999999997,0.2875,Control
Günter,1,0.375,0.4,Active
mar,1,0.275,0.5249999999999999,Active
LK,1,0.475,0.35624999999999996,Active
Tita,0,0.35624999999999996,0.5625,Control
